 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.987076800000E+08      0.198900000000E+34     -0.288466696506E+14      0.794053605049E+13      0.527059311629E+06      0.191472032929E+07      0.131818121025E+00      0.000000000000E+00
     1      0.993384000000E+08      0.198900000000E+34     -0.284890646863E+14      0.914087829095E+13      0.606732969822E+06      0.189098401923E+07      0.131818121025E+00      0.000000000000E+00
     1      0.999691200000E+08      0.198900000000E+34     -0.280815359605E+14      0.103252022088E+14      0.685343399292E+06      0.186393398032E+07      0.131818121025E+00      0.000000000000E+00
     1      0.100599840000E+09      0.198900000000E+34     -0.276247976197E+14      0.114914324146E+14      0.762752844437E+06      0.183361761461E+07      0.131818121025E+00      0.000000000000E+00
     1      0.101230560000E+09      0.198900000000E+34     -0.271196500446E+14      0.126375252260E+14      0.838825654236E+06      0.180008804799E+07      0.131818121025E+00      0.000000000000E+00
     1      0.101861280000E+09      0.198900000000E+34     -0.265669784472E+14      0.137614722491E+14      0.913428519967E+06      0.176340403710E+07      0.131818121025E+00      0.000000000000E+00
     1      0.102492000000E+09      0.198900000000E+34     -0.259677513201E+14      0.148613038978E+14      0.986430708816E+06      0.172362986639E+07      0.131818121025E+00      0.000000000000E+00
     1      0.103122720000E+09      0.198900000000E+34     -0.253230187389E+14      0.159350928456E+14      0.105770429296E+07      0.168083523546E+07      0.131818121025E+00      0.000000000000E+00
     1      0.103753440000E+09      0.198900000000E+34     -0.246339105221E+14      0.169809574025E+14      0.112712437377E+07      0.163509513690E+07      0.131818121025E+00      0.000000000000E+00
     1      0.104384160000E+09      0.198900000000E+34     -0.239016342517E+14      0.179970648131E+14      0.119456930065E+07      0.158648972489E+07      0.131818121025E+00      0.000000000000E+00
     1      0.105014880000E+09      0.198900000000E+34     -0.231274731561E+14      0.189816344675E+14      0.125992088423E+07      0.153510417475E+07      0.131818121025E+00      0.000000000000E+00
     1      0.105645600000E+09      0.198900000000E+34     -0.223127838625E+14      0.199329410223E+14      0.132306460348E+07      0.148102853365E+07      0.131818121025E+00      0.000000000000E+00
     1      0.106276320000E+09      0.198900000000E+34     -0.214589940187E+14      0.208493174239E+14      0.138388980642E+07      0.142435756284E+07      0.131818121025E+00      0.000000000000E+00
     1      0.106907040000E+09      0.198900000000E+34     -0.205675997917E+14      0.217291578295E+14      0.144228990397E+07      0.136519057159E+07      0.131818121025E+00      0.000000000000E+00
     1      0.107537760000E+09      0.198900000000E+34     -0.196401632461E+14      0.225709204214E+14      0.149816255676E+07      0.130363124314E+07      0.131818121025E+00      0.000000000000E+00
     1      0.108168480000E+09      0.198900000000E+34     -0.186783096060E+14      0.233731301089E+14      0.155140985450E+07      0.123978745303E+07      0.131818121025E+00      0.000000000000E+00
     1      0.108799200000E+09      0.198900000000E+34     -0.176837244078E+14      0.241343811131E+14      0.160193848751E+07      0.117377108005E+07      0.131818121025E+00      0.000000000000E+00
     1      0.109429920000E+09      0.198900000000E+34     -0.166581505459E+14      0.248533394304E+14      0.164965991025E+07      0.110569781019E+07      0.131818121025E+00      0.000000000000E+00
     1      0.110060640000E+09      0.198900000000E+34     -0.156033852189E+14      0.255287451703E+14      0.169449049650E+07      0.103568693391E+07      0.131818121025E+00      0.000000000000E+00
     1      0.110691360000E+09      0.198900000000E+34     -0.145212767798E+14      0.261594147630E+14      0.173635168587E+07      0.963861137100E+06      0.131818121025E+00      0.000000000000E+00
     1      0.111322080000E+09      0.198900000000E+34     -0.134137214976E+14      0.267442430336E+14      0.177517012153E+07      0.890346286084E+06      0.131818121025E+00      0.000000000000E+00
     1      0.111952800000E+09      0.198900000000E+34     -0.122826602336E+14      0.272822051388E+14      0.181087777869E+07      0.815271207062E+06      0.131818121025E+00      0.000000000000E+00
     1      0.112583520000E+09      0.198900000000E+34     -0.111300750406E+14      0.277723583627E+14      0.184341208385E+07      0.738767460347E+06      0.131818121025E+00      0.000000000000E+00
     1      0.113214240000E+09      0.198900000000E+34     -0.995798568973E+13      0.282138437690E+14      0.187271602443E+07      0.660969109828E+06      0.131818121025E+00      0.000000000000E+00
     1      0.113844960000E+09      0.198900000000E+34     -0.876844613084E+13      0.286058877060E+14      0.189873824868E+07      0.582012488035E+06      0.131818121025E+00      0.000000000000E+00
     1      0.114475680000E+09      0.198900000000E+34     -0.756354089317E+13      0.289478031624E+14      0.192143315570E+07      0.502035957236E+06      0.131818121025E+00      0.000000000000E+00
     1      0.115106400000E+09      0.198900000000E+34     -0.634538143258E+13      0.292389909714E+14      0.194076097532E+07      0.421179666967E+06      0.131818121025E+00      0.000000000000E+00
     1      0.115737120000E+09      0.198900000000E+34     -0.511610243138E+13      0.294789408601E+14      0.195668783776E+07      0.339585308442E+06      0.131818121025E+00      0.000000000000E+00
     1      0.116367840000E+09      0.198900000000E+34     -0.387785805760E+13      0.296672323444E+14      0.196918583308E+07      0.257395866255E+06      0.131818121025E+00      0.000000000000E+00
     1      0.116998560000E+09      0.198900000000E+34     -0.263281819001E+13      0.298035354654E+14      0.197823305997E+07      0.174755367811E+06      0.131818121025E+00      0.000000000000E+00
     1      0.117629280000E+09      0.198900000000E+34     -0.138316461573E+13      0.298876113678E+14      0.198381366424E+07      0.918086309425E+05      0.131818121025E+00      0.000000000000E+00
     1      0.118260000000E+09      0.198900000000E+34     -0.131087206842E+12      0.299193127184E+14      0.198591786653E+07      0.870101012776E+04      0.131818121025E+00      0.000000000000E+00
     1      0.118890720000E+09      0.198900000000E+34      0.112121991708E+13      0.298985839641E+14      0.198454197945E+07     -0.744218582243E+05      0.131818121025E+00      0.000000000000E+00
     1      0.119521440000E+09      0.198900000000E+34      0.237156223391E+13      0.298254614298E+14      0.197968841409E+07     -0.157414310985E+06      0.131818121025E+00      0.000000000000E+00
