 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.315363153600E+08      0.397800000000E+34     -0.746359118914E+13     -0.129657175768E+14     -0.860514734330E+06      0.495375084384E+06      0.328793754451E-01      0.571112178796E-01
     2      0.321670353600E+08      0.397800000000E+34     -0.799964118588E+13     -0.126420134212E+14     -0.839029711084E+06      0.530951923503E+06      0.352404130719E-01      0.556850143947E-01
     2      0.327977553600E+08      0.397800000000E+34     -0.852167478579E+13     -0.122961602777E+14     -0.816074790108E+06      0.565598344759E+06      0.375396791731E-01      0.541612646214E-01
     2      0.334284753600E+08      0.397800000000E+34     -0.902877744391E+13     -0.119287641979E+14     -0.791690207317E+06      0.599253657064E+06      0.397731461998E-01      0.525426403941E-01
     2      0.340591953600E+08      0.397800000000E+34     -0.952006078605E+13     -0.115404689705E+14     -0.765918702860E+06      0.631858907147E+06      0.419369020358E-01      0.508319797324E-01
     2      0.346899153600E+08      0.397800000000E+34     -0.999466416482E+13     -0.111319549919E+14     -0.738805446146E+06      0.663356982812E+06      0.440271568509E-01      0.490322818584E-01
     2      0.353206353600E+08      0.397800000000E+34     -0.104517561671E+14     -0.107039380739E+14     -0.710397956612E+06      0.693692712970E+06      0.460402497383E-01      0.471467019311E-01
     2      0.359513553600E+08      0.397800000000E+34     -0.108905360702E+14     -0.102571681883E+14     -0.680746020376E+06      0.722812964255E+06      0.479726551257E-01      0.451785455082E-01
     2      0.365820753600E+08      0.397800000000E+34     -0.113102352442E+14     -0.979242815258E+13     -0.649901602918E+06      0.750666734075E+06      0.498209889491E-01      0.431312627446E-01
     2      0.372127953599E+08      0.397800000000E+34     -0.117101184978E+14     -0.931053225717E+13     -0.617918757950E+06      0.777205239911E+06      0.515820145769E-01      0.410084423372E-01
     2      0.378435153599E+08      0.397800000000E+34     -0.120894853660E+14     -0.881232483841E+13     -0.584853532625E+06      0.802382004727E+06      0.532526484757E-01      0.388138052277E-01
     2      0.384742353599E+08      0.397800000000E+34     -0.124476713365E+14     -0.829867879846E+13     -0.550763869261E+06      0.826152938337E+06      0.548299656069E-01      0.365511980738E-01
     2      0.391049553599E+08      0.397800000000E+34     -0.127840490131E+14     -0.777049407530E+13     -0.515709503745E+06      0.848476414577E+06      0.563112045450E-01      0.342245865008E-01
     2      0.397356753599E+08      0.397800000000E+34     -0.130980292140E+14     -0.722869606546E+13     -0.479751860807E+06      0.869313344159E+06      0.576937723080E-01      0.318380481444E-01
     2      0.403663953599E+08      0.397800000000E+34     -0.133890620034E+14     -0.667423400214E+13     -0.442953946326E+06      0.888627243073E+06      0.589752488933E-01      0.293957654990E-01
     2      0.409971153599E+08      0.397800000000E+34     -0.136566376543E+14     -0.610807929168E+13     -0.405380236882E+06      0.906384296422E+06      0.601533915082E-01      0.269020185813E-01
     2      0.416278353599E+08      0.397800000000E+34     -0.139002875398E+14     -0.553122381115E+13     -0.367096566737E+06      0.922553417575E+06      0.612261384911E-01      0.243611774248E-01
     2      0.422585553599E+08      0.397800000000E+34     -0.141195849541E+14     -0.494467817025E+13     -0.328170012435E+06      0.937106302530E+06      0.621916129132E-01      0.217776944169E-01
     2      0.428892753599E+08      0.397800000000E+34     -0.143141458584E+14     -0.434946994033E+13     -0.288668775238E+06      0.950017479409E+06      0.630481258574E-01      0.191560964919E-01
     2      0.435199953599E+08      0.397800000000E+34     -0.144836295531E+14     -0.374664185388E+13     -0.248662061597E+06      0.961264352977E+06      0.637941793664E-01      0.165009771943E-01
     2      0.441507153599E+08      0.397800000000E+34     -0.146277392736E+14     -0.313724997739E+13     -0.208219961871E+06      0.970827244122E+06      0.644284690562E-01      0.138169886270E-01
     2      0.447814353599E+08      0.397800000000E+34     -0.147462227089E+14     -0.252236186106E+13     -0.167413327496E+06      0.978689424227E+06      0.649498863902E-01      0.111088332958E-01
     2      0.454121553599E+08      0.397800000000E+34     -0.148388724428E+14     -0.190305466834E+13     -0.126313646838E+06      0.984837144362E+06      0.653575206096E-01      0.838125586846E-02
     2      0.460428753599E+08      0.397800000000E+34     -0.149055263161E+14     -0.128041328877E+13     -0.849929199319E+05      0.989259659262E+06      0.656506603172E-01      0.563903485913E-02
     2      0.466735953599E+08      0.397800000000E+34     -0.149460677098E+14     -0.655528437328E+12     -0.435235323307E+05      0.991949246037E+06      0.658287947119E-01      0.288697425510E-02
     2      0.473043153599E+08      0.397800000000E+34     -0.149604257479E+14     -0.294947436546E+11     -0.197812829199E+04      0.992901217587E+06      0.658916144714E-01      0.129895099493E-03
     2      0.479350353599E+08      0.397800000000E+34     -0.149485754209E+14      0.596591165522E+12      0.395705164861E+05      0.992113930698E+06      0.658390122814E-01     -0.262737295501E-02
     2      0.485657553599E+08      0.397800000000E+34     -0.149105376281E+14      0.122163258737E+13      0.810496223496E+05      0.989588788808E+06      0.656710830124E-01     -0.538000010670E-02
     2      0.491964753599E+08      0.397800000000E+34     -0.148463791405E+14      0.184453466401E+13      0.122386533172E+06      0.985330239431E+06      0.653881235402E-01     -0.812316486473E-02
     2      0.498271953599E+08      0.397800000000E+34     -0.147562124821E+14      0.246420630026E+13      0.163508843616E+06      0.979345766254E+06      0.649906322145E-01     -0.108520624937E-01
     2      0.504579153599E+08      0.397800000000E+34     -0.146401957322E+14      0.307956207474E+13      0.204344525943E+06      0.971645875914E+06      0.644793079737E-01     -0.135619134279E-01
     2      0.510886353599E+08      0.397800000000E+34     -0.144985322471E+14      0.368952414090E+13      0.244822056160E+06      0.962244079482E+06      0.638550491086E-01     -0.162479716410E-01
     2      0.517193553599E+08      0.397800000000E+34     -0.143314703032E+14      0.429302411482E+13      0.284870539275E+06      0.951156868689E+06      0.631189516773E-01     -0.189055329552E-01
